count,brier,log_loss,auc,ece,model,model_display,slice,slice_description,dataset_key
4347,0.06173763416612794,0.21111988400617335,0.8860984494846871,0.0073090680178491095,contextual_enriched,Contextual (Enriched Priors),not_under_pressure,Shots not under pressure,enriched
1177,0.07543395743149789,0.2550300406044959,0.8711850444441492,0.015086580657452392,contextual_enriched,Contextual (Enriched Priors),leading,Team leading,enriched
1463,0.05277253560915494,0.18351175750245102,0.8931941428226718,0.010329795124648853,contextual_enriched,Contextual (Enriched Priors),trailing,Team trailing,enriched
2966,0.05733236184668787,0.19994937263878484,0.8722612351091893,0.010124664875645067,contextual_enriched,Contextual (Enriched Priors),drawing,Score level,enriched
2348,0.056750389920260054,0.19753026773900204,0.8652481732480217,0.011332124870048605,contextual_enriched,Contextual (Enriched Priors),first_half,Minutes 0-45,enriched
3258,0.06224366396487793,0.21421019939012792,0.8862200930764893,0.007867768530776711,contextual_enriched,Contextual (Enriched Priors),second_half,Minutes 46+,enriched
1413,0.10606128583255366,0.34247573744761917,0.8521492448072374,0.010249823616078728,contextual_enriched,Contextual (Enriched Priors),close_range,Shot distance ≤ 12m,enriched
2436,0.02807143206053253,0.11572535726402602,0.8161063184378148,0.005084389786839914,contextual_enriched,Contextual (Enriched Priors),long_range,Shot distance ≥ 20m,enriched
3635,0.059306054230809216,0.20343654768935487,0.8881582596541052,0.012906985803930477,contextual_enriched,Contextual (Enriched Priors),set_piece,Set piece phases,enriched
1971,0.06111733414578966,0.21420905500426607,0.8618803896023326,0.008424081458326526,contextual_enriched,Contextual (Enriched Priors),open_play,Open play shots,enriched
5829,0.07104727179710464,0.24319555432516693,0.8689298303801257,0.01034574563327698,contextual_raw,Contextual (Raw),overall,All shots,raw
1259,0.0582573570923415,0.21060047335413076,0.8040205303678358,0.013855644275315724,contextual_raw,Contextual (Raw),under_pressure,Shots under pressure,raw
4570,0.07457079534487196,0.25217524949858805,0.8774809812485367,0.009900867041893923,contextual_raw,Contextual (Raw),not_under_pressure,Shots not under pressure,raw
1222,0.08602568516299597,0.28856973196527397,0.8625879718490084,0.018610905088816868,contextual_raw,Contextual (Raw),leading,Team leading,raw
1551,0.06742944450743737,0.23278668688242535,0.8766350303424904,0.013728667137217923,contextual_raw,Contextual (Raw),trailing,Team trailing,raw
3056,0.06689400903308455,0.23033459500824333,0.86493853203902,0.012185953256886086,contextual_raw,Contextual (Raw),drawing,Score level,raw
2380,0.06286216035588882,0.22033220032188444,0.84766787080323,0.013294008219843433,contextual_raw,Contextual (Raw),first_half,Minutes 0-45,raw
3449,0.07669544959649391,0.2589725280937411,0.8768269755594638,0.014372555918877592,contextual_raw,Contextual (Raw),second_half,Minutes 46+,raw
1616,0.12925327192044855,0.40427357783798307,0.8455949746272327,0.015529768505370425,contextual_raw,Contextual (Raw),close_range,Shot distance ≤ 12m,raw
2436,0.029794323359189922,0.12837837404405622,0.7229400527408157,0.0037951193930861418,contextual_raw,Contextual (Raw),long_range,Shot distance ≥ 20m,raw
3858,0.07298298016391778,0.2461783875773084,0.8870915225502474,0.016825198854921574,contextual_raw,Contextual (Raw),set_piece,Set piece phases,raw
1971,0.06725835100605176,0.23735701009038163,0.8189993175755319,0.009661298291509381,contextual_raw,Contextual (Raw),open_play,Open play shots,raw
