set_piece_category,set_piece_phase,score_state,minute_bucket_label,shots,goals,xg_total,goal_rate,xg_per_shot,lift_vs_xg
Throw In,First Phase,Level,90+,39,3,2.7503885441,0.07692307692307693,0.07052278318205128,0.006400293741025645
Throw In,First Phase,Level,75-90,42,4,3.8129019497,0.09523809523809523,0.0907833797547619,0.00445471548333333
Throw In,First Phase,Leading 1,60-75,13,1,0.981499068,0.07692307692307693,0.07549992830769231,0.0014231486153846173
Throw In,First Phase,Level,30-45,66,4,5.9588972352,0.06060606060606061,0.09028632174545455,-0.02968026113939394
Throw In,First Phase,Trailing 1,60-75,43,2,3.278636383,0.046511627906976744,0.07624735774418605,-0.029735729837209304
Throw In,First Phase,Trailing 1,15-30,23,1,1.794712039,0.043478260869565216,0.0780309582173913,-0.03455269734782608
Throw In,First Phase,Trailing 1,90+,31,1,2.1184058976999998,0.03225806451612903,0.06833567411935483,-0.0360776096032258
Throw In,First Phase,Level,15-30,76,3,5.9920761766,0.039473684210526314,0.07884310758684211,-0.0393694233763158
Throw In,First Phase,Level,60-75,34,1,2.6891051138,0.029411764705882353,0.0790913268764706,-0.04967956217058824
Throw In,First Phase,Trailing 1,45-60,37,1,2.942256107,0.02702702702702703,0.07952043532432432,-0.05249340829729729
Throw In,First Phase,Trailing 2+,90+,12,0,1.270981577,0.0,0.10591513141666666,-0.10591513141666666
Throw In,Second Phase,Level,90+,12,2,0.7566243579999999,0.16666666666666666,0.06305202983333333,0.10361463683333333
Throw In,Second Phase,Level,0-15,40,7,3.7203725639000003,0.175,0.0930093140975,0.08199068590249999
Throw In,Second Phase,Level,45-60,22,3,1.3266699347,0.13636363636363635,0.06030317885,0.07606045751363635
Throw In,Second Phase,Level,15-30,25,4,2.539966259,0.16,0.10159865035999999,0.058401349640000016
Throw In,Second Phase,Trailing 1,45-60,12,1,0.9619676309999999,0.08333333333333333,0.08016396925,0.003169364083333334
Throw In,Second Phase,Level,30-45,20,0,2.406312583,0.0,0.12031562915,-0.12031562915
Goal Kick,First Phase,Level,60-75,15,3,1.1622210938,0.2,0.07748140625333333,0.12251859374666668
Goal Kick,First Phase,Level,30-45,19,2,1.109861321,0.10526315789473684,0.0584137537368421,0.046849404157894736
Goal Kick,First Phase,Level,15-30,17,2,1.6255211939,0.11764705882352941,0.09561889375882353,0.022028165064705882
Goal Kick,First Phase,Level,45-60,11,1,0.864364286,0.09090909090909091,0.07857857145454546,0.012330519454545455
Goal Kick,First Phase,Level,0-15,25,1,1.847141459,0.04,0.07388565836,-0.033885658359999994
Other Restart,First Phase,Leading 2+,90+,10,3,1.835841098,0.3,0.1835841098,0.11641589019999998
Other Restart,First Phase,Leading 1,60-75,13,3,1.839505282,0.23076923076923078,0.1415004063076923,0.08926882446153847
Other Restart,First Phase,Leading 1,45-60,12,2,0.996596013,0.16666666666666666,0.08304966775,0.08361699891666666
Other Restart,First Phase,Level,90+,14,3,1.879695678,0.21428571428571427,0.134263977,0.08002173728571427
Other Restart,First Phase,Level,45-60,26,4,2.5200491213,0.15384615384615385,0.09692496620384615,0.056921187642307705
Other Restart,First Phase,Level,0-15,18,3,2.165322869,0.16666666666666666,0.12029571494444445,0.046370951722222206
Other Restart,First Phase,Level,15-30,18,2,1.6381034145,0.1111111111111111,0.09100574524999999,0.020105365861111113
Other Restart,First Phase,Level,60-75,14,1,1.008449604,0.07142857142857142,0.07203211457142857,-0.0006035431428571408
Other Restart,First Phase,Level,30-45,18,1,1.286622701,0.05555555555555555,0.07147903894444445,-0.015923483388888895
Other Restart,First Phase,Leading 2+,75-90,12,1,1.578624716,0.08333333333333333,0.13155205966666667,-0.04821872633333334
Other Restart,Second Phase,Level,45-60,13,1,1.370353346,0.07692307692307693,0.10541179584615384,-0.028488718923076917
