player_id,player_name,team_id,total_cxa,total_true_xa,total_actions,key_actions,pre_assists,passes,carries,dribbles,pass_credit,carry_credit,dribble_credit,avg_credit_per_action,avg_true_xa
216.0,Cristiano Ronaldo dos Santos Aveiro,15,3.0367218358045283,5.861769640300648,65,29,15,30,35,0,1.4036199836043022,1.6331018522002265,0.0,0.04671879747391582,0.09018107138924074
1201.0,Vladimír Coufal,45,2.967586947939835,4.5261243893806995,41,15,10,27,14,0,2.626938412595704,0.34064853534413037,0.0,0.0723801694619472,0.11039327778977316
352.0,Mateo Kovačić,22,2.9602490292330566,8.65467909738971,86,19,22,43,43,0,1.560721098782659,1.3995279304503976,0.0,0.03442150033991926,0.10063580345801988
361.0,Ivan Perišić,22,2.874345172179115,8.803984218757575,76,42,21,31,45,0,1.5190632715035755,1.3552819006755392,0.0,0.03782033121288309,0.11584189761523125
20.0,Dušan Tadić,2,2.818240522330266,6.474248972234333,52,22,15,31,21,0,1.820988390223198,0.9972521321070675,0.0,0.05419693312173589,0.12450478792758334
1138.0,Marcel Sabitzer,43,2.6005885192966436,6.431951555807264,56,23,5,29,27,0,1.7979842182874581,0.8026043010091857,0.0,0.046439080701725775,0.11485627778227257
230.0,Ousmane Dembélé,16,2.5901395943885817,7.415898168622085,93,37,27,41,51,1,1.427683163076811,1.1326272474672323,0.029829183844538223,0.027850963380522384,0.07974084052281812
149.0,Cody Mathès Gakpo,11,2.5241633880986614,8.876784926705481,74,31,21,33,40,1,1.3931619239885022,1.1215534766391237,0.009447987471035063,0.034110316055387314,0.11995655306358759
589.0,Jeremy Doku,29,2.489095147568487,4.694203036060297,50,15,14,18,32,0,0.9951067836617244,1.4939883639067626,0.0,0.04978190295136974,0.09388406072120593
210.0,Bernardo Mota Veiga de Carvalho e Silva,15,2.487620542410432,7.122013739459185,82,12,22,46,36,0,1.3459797193822616,1.1416408230281698,0.0,0.030336835883054046,0.08685382609096567
1193.0,Ruslan Malinovskiy,44,2.4564927669286587,4.746107758141099,35,9,8,21,14,0,1.9942707731782296,0.4622219937504293,0.0,0.07018550762653311,0.13560307880403139
279.0,Piotr Zieliński,19,2.4126255945494277,5.115429085991313,62,29,11,34,28,0,1.7542008640559652,0.6584247304934627,0.0,0.0389133160411198,0.08250692074179537
177.0,Heung-Min Son,13,2.368469087643632,5.357664672369799,63,30,14,24,39,0,1.4485373706810165,0.9199317169626152,0.0,0.03759474742291479,0.0850422963868222
396.0,Nicholas Williams Arthuer,23,2.362279666506586,6.756333724932266,59,18,15,29,30,0,1.3429822014510777,1.0192974650555087,0.0,0.04003863841536586,0.11451413093105535
284.0,Robert Lewandowski,19,2.335150299982152,5.219598514218887,43,22,15,16,27,0,0.37418142470312504,1.960968875279027,0.0,0.05430582092981749,0.12138601195857877
360.0,Andrej Kramarić,22,2.28729700725553,7.917281072839291,96,26,23,44,52,0,1.2310220723893428,1.056274934866187,0.0,0.023826010492245104,0.08247167784207594
18.0,Ricardo Iván Rodríguez Araya,3,2.2845219171315962,5.183853322751322,66,25,18,37,29,0,1.6973082728252256,0.5872136443063715,0.0,0.034613968441387824,0.07854323216289881
517.0,Eden Hazard,29,2.2644093848675695,8.001361221775394,72,23,21,31,40,1,0.6957050680732394,1.5640313277782676,0.00467298901606266,0.03145013034538291,0.11113001696910269
755.0,Ivan Rakitić,22,2.2624753415164003,3.346657496197077,43,15,7,24,19,0,1.2592074149139996,1.0032679266024012,0.0,0.05261570561666047,0.07782924409760644
386.0,Jordi Alba Ramos,23,2.2196333232008074,5.53478564598794,67,20,17,37,30,0,1.2656975281207754,0.9539357950800325,0.0,0.033128855570161306,0.08260874098489462
